level,grammar,meaning_kr,example_jp,example_ko
N5,〜です/〜ます,정중한 기본 서술·동작.,今日は寒いです。,오늘은 춥습니다.
N5,〜ではありません,부정(명사/형용동사).,学生ではありません。,학생이 아닙니다.
N5,〜でした/〜ました,과거(정중).,昨日は休みでした。,어제는 휴일이었습니다.
N5,〜ませんでした,과거 부정(정중).,昨日は行きませんでした。,어제는 가지 않았습니다.
N5,〜か,의문.,今、時間がありますか。,지금 시간 있으세요?.
N5,〜も,도/역시.,私も行きます。,저도 갑니다.
N5,〜と,그리고/…와(명사).,パンと水を買いました。,빵과 물을 샀습니다.
N5,〜の(소유),~의.,私の本です。,제 책입니다.
N5,〜があります/〜います,존재(무생물/생물).,公園に猫がいます。,공원에 고양이가 있습니다.
N5,〜に/〜へ(이동),목적지.,学校へ行きます。,학교에 갑니다.
N5,〜で(장소),행동 장소.,家で勉強します。,집에서 공부합니다.
N5,〜を(목적어),목적어 표시.,水を飲みます。,물을 마십니다.
N5,〜に(시간),시간/시점.,七時に起きます。,7시에 일어납니다.
N5,〜から/〜まで,~부터/~까지.,九時から五時まで働きます。,9시부터 5시까지 일합니다.
N5,〜が(주어/대상),주어/대상 표시.,日本語が好きです。,일본어를 좋아합니다.
N5,〜の(설명),명사 수식(…의 …).,日本の会社です。,일본의 회사입니다.
N5,〜たいです,하고 싶다(정중).,寿司を食べたいです。,스시를 먹고 싶습니다.
N5,〜ましょう,권유.,一緒に行きましょう。,같이 갑시다.
N5,〜ましょうか,제안/도움 제의.,荷物を持ちましょうか。,짐을 들어드릴까요?.
N5,〜てください,부탁.,ゆっくり話してください。,천천히 말씀해 주세요.
N5,〜てもいいです,허가.,ここに座ってもいいですか。,여기 앉아도 되나요?.
N5,〜てはいけません,금지.,ここでたばこを吸ってはいけません。,여기서 담배를 피우면 안 됩니다.
N5,〜まえに,~하기 전에.,寝る前に歯を磨きます。,자기 전에 이를 닦습니다.
N5,〜たり〜たりします,~했다가 ~했다가.,週末は映画を見たり散歩したりします。,주말에는 영화를 보거나 산책하거나 합니다.
N5,〜から(이유),이유.,雨ですから、行きません。,비가 오니까 가지 않습니다.
N4,〜ながら,~하면서.,音楽を聞きながら勉強します。,음악을 들으면서 공부합니다.
N4,〜ている,진행/상태.,今、駅で待っています。,지금 역에서 기다리고 있습니다.
N4,〜てから,~하고 나서.,朝ごはんを食べてから出かけます。,아침을 먹고 나서 나갑니다.
N4,〜ないで,~하지 않고.,傘を持たないで出ました。,우산을 안 가지고 나왔습니다.
N4,〜なくてもいい,~하지 않아도 된다.,今日は来なくてもいいです。,오늘은 안 와도 됩니다.
N4,〜なくちゃ/〜なければならない,~해야 한다.,明日までに出さなければなりません。,내일까지 제출해야 합니다.
N4,〜ほうがいい,~하는 편이 좋다(조언).,早く寝たほうがいいです。,일찍 자는 게 좋습니다.
N4,〜でしょう,추측/완곡.,明日は寒いでしょう。,내일은 추울 겁니다.
N4,〜かもしれません,~일지도 모른다.,遅れるかもしれません。,늦을지도 모릅니다.
N4,〜そうです(전언),…라고 한다(전언).,天気予報によると、雨だそうです。,일기예보에 따르면 비가 온다고 합니다.
N4,〜そうです(모양),…해 보인다.,このケーキはおいしそうです。,이 케이크는 맛있어 보입니다.
N4,〜つもりです,~할 예정이다.,来月引っ越すつもりです。,다음 달에 이사할 예정입니다.
N4,〜ことがある,경험이 있다.,日本へ行ったことがあります。,일본에 간 적이 있습니다.
N4,〜ことができる,~할 수 있다.,一人で予約することができます。,혼자 예약할 수 있습니다.
N4,〜ように,목적/희망(…하도록).,忘れないようにメモします。,잊지 않도록 메모합니다.
N4,〜ようです,…인 것 같다(유사/추측).,外は静かなようです。,밖은 조용한 것 같습니다.
N4,〜てしまう,완료/유감.,財布を忘れてしまいました。,지갑을 깜빡해 버렸습니다.
N4,〜すぎる,너무 ~하다.,食べすぎました。,너무 먹었습니다.
N4,〜やすい/〜にくい,~하기 쉽다/어렵다.,この漢字は覚えやすいです。,이 한자는 외우기 쉽습니다.
N4,〜しか〜ない,~밖에 없다.,千円しかありません。,천 엔밖에 없습니다.
N4,〜でも,~라도.,忙しくても行きます。,바빠도 갑니다.
N4,〜ので,이유(조금 부드러움).,用事があるので、先に帰ります。,볼일이 있어서 먼저 돌아갑니다.
N4,〜のに,역접(…인데도).,近いのに、なかなか行けません。,가까운데도 좀처럼 못 갑니다.
N4,〜ば,가정(~하면).,時間があれば、手伝います。,시간이 있으면 도와줍니다.
N4,〜たら,가정/조건.,着いたら連絡してください。,도착하면 연락해 주세요.
N3,〜ようと思う,~하려고 생각하다.,来年は資格を取ろうと思います。,내년에는 자격증을 따려고 합니다.
N3,〜ことにする,~하기로 하다(결정).,毎朝走ることにしました。,매일 아침 달리기로 했습니다.
N3,〜ことになる,~하게 되다(결정/결과).,来週から担当することになりました。,다음 주부터 맡게 되었습니다.
N3,〜わけだ,그러니까 ~인 것이다.,値段が高いわけだ。,그래서 가격이 비싼 거였군요.
N3,〜わけではない,반드시 ~인 것은 아니다.,嫌いなわけではありません。,싫은 것은 아닙니다.
N3,〜に違いない,틀림없다.,彼は知っているに違いない。,그는 알고 있음이 틀림없다.
N3,〜ように言う,~하도록 말하다.,先生は早く来るように言いました。,선생님이 빨리 오라고 했습니다.
N3,〜ところ,막~하다/하고 있는 중.,今から出かけるところです。,지금부터 나가려는 참입니다.
N3,〜ところだ,막~했다/할 참이다.,さっき帰ったところです。,방금 돌아온 참입니다.
N3,〜ておく,미리 ~해 두다.,予約しておきます。,예약해 두겠습니다.
N3,〜てみる,시험 삼아 ~해 보다.,一度やってみます。,한 번 해 보겠습니다.
N3,〜てくる,~해 오다/변화해 오다.,寒くなってきました。,추워져 왔습니다.
N3,〜ていく,~해 가다/변화해 가다.,これから頑張っていきます。,앞으로 열심히 해 가겠습니다.
N3,〜間に/〜間,~하는 동안.,寝ている間に雨が降りました。,자고 있는 동안 비가 왔습니다.
N3,〜最中に,한창 ~하는 중에.,会議の最中に電話が鳴りました。,회의 한창 중에 전화가 울렸습니다.
N3,〜に対して,~에 대해/대하여.,上司に対して失礼でした。,상사에게 무례했습니다.
N3,〜にとって,~에게(입장).,私にとって大事な経験です。,저에게 중요한 경험입니다.
N3,〜おかげで,덕분에.,あなたのおかげで助かりました。,당신 덕분에 살았습니다.
N3,〜せいで,~탓에(부정).,渋滞のせいで遅れました。,정체 탓에 늦었습니다.
N3,〜ほど,~할 정도로.,涙が出るほど笑いました。,눈물이 날 정도로 웃었습니다.
N3,〜ばかり,~만/막~했다.,食べてばかりいます。,먹기만 하고 있습니다.
N3,〜ばかりでなく,~뿐만 아니라.,彼は優しいばかりでなく、頼もしい。,그는 상냥할 뿐만 아니라 듬직하다.
N3,〜にしては,~치고는.,この値段にしては品質がいい。,이 가격치고는 품질이 좋다.
N3,〜ようになる,~하게 되다(변화).,早起きできるようになりました。,일찍 일어날 수 있게 되었습니다.
N3,〜ことはない,~할 필요 없다.,心配することはありません。,걱정할 필요 없습니다.
N2,〜わけがない,~일 리 없다.,そんな話が本当なわけがない。,그런 이야기가 사실일 리 없습니다.
N2,〜わけにはいかない,~할 수는 없다(사정/체면).,今日は休むわけにはいきません。,오늘은 쉴 수 없습니다.
N2,〜にすぎない,~에 불과하다.,それは噂にすぎません。,그건 소문에 불과합니다.
N2,〜にほかならない,다름 아닌 ~이다.,努力の結果にほかなりません。,노력의 결과임에 틀림없습니다.
N2,〜というわけだ,즉 ~라는 것이다.,つまり、彼は来ないというわけだ。,즉 그는 안 온다는 말입니다.
N2,〜に応じて,~에 따라.,状況に応じて対応します。,상황에 따라 대응합니다.
N2,〜に伴って,~에 따라/동반하여.,値上げに伴って内容も変わります。,가격 인상에 따라 내용도 바뀝니다.
N2,〜をめぐって,~을 둘러싸고.,予算をめぐって議論が続いている。,예산을 둘러싸고 논의가 계속되고 있다.
N2,〜を通じて/〜を通して,~을 통해.,一年を通じて忙しいです。,일 년 내내 바쁩니다.
N2,〜に加えて,~에 더해.,資料に加えて説明も必要です。,자료에 더해 설명도 필요합니다.
N2,〜に比べて,~에 비해.,去年に比べて売上が伸びた。,작년에 비해 매출이 늘었다.
N2,〜一方で,한편으로는.,便利な一方で不安もある。,편리한 한편 불안도 있습니다.
N2,〜反面,반면.,給料は高い反面、忙しい。,급여는 높은 반면 바쁩니다.
N2,〜とはいえ,~라고는 해도.,安いとはいえ、品質はいい。,싸다고는 해도 품질은 좋습니다.
N2,〜にしても,~라고 해도.,行くにしても連絡してください。,가더라도 연락해 주세요.
N2,〜にしては,~치고는(평가).,初めてにしては上手です。,처음치고는 잘합니다.
N2,〜を機に,~을 계기로.,転職を機に生活を見直した。,이직을 계기로 생활을 다시 돌아봤다.
N2,〜をきっかけに,~을 계기로.,友人をきっかけに始めました。,친구를 계기로 시작했습니다.
N2,〜に際して,~에 즈음하여.,入社に際して書類が必要です。,입사에 즈음하여 서류가 필요합니다.
N2,〜に限って,~에 한해서/하필.,今日は雨に限って傘がない。,하필 오늘 비가 오는데 우산이 없다.
N2,〜限り,~하는 한/한.,知っている限りでは問題ありません。,제가 아는 한 문제 없습니다.
N2,〜次第,~하는 대로/~에 따라.,準備ができ次第、ご連絡します。,준비되는 대로 연락드리겠습니다.
N2,〜恐れがある,~할 우려가 있다.,台風で遅れる恐れがあります。,태풍으로 지연될 우려가 있습니다.
N2,〜かねない,~할지도 모른다(부정).,このままだと失敗しかねない。,이대로면 실패할지도 모릅니다.
N2,〜に気づく,~을 깨닫다.,間違いに気づきました。,실수에 깨달았습니다.
N1,〜に至るまで,~에 이르기까지.,準備から運営に至るまで担当した。,준비부터 운영에 이르기까지 담당했다.
N1,〜に至って,~에 이르러(결국).,問題は最終段階に至って表面化した。,문제는 최종 단계에 이르러 표면화했다.
N1,〜に至っては,~에 이르러서는(극단 예).,彼に至っては謝りもしない。,그에 이르러서는 사과도 하지 않는다.
N1,〜を余儀なくされる,부득이 ~하게 되다.,事故で計画変更を余儀なくされた。,사고로 계획 변경을 부득이하게 되었다.
N1,〜を禁じ得ない,~하지 않을 수 없다.,驚きを禁じ得ない。,놀라움을 금할 수 없다.
N1,〜に堪えない,~하기 이를 데 없다(감정).,見るに堪えない光景だ。,보기에도 참기 어려운 광경이다.
N1,〜に堪える,~할 만하다.,鑑賞に堪える作品だ。,감상할 만한 작품이다.
N1,〜と相まって,~와 어우러져.,技術力と発想が相まって成功した。,기술력과 발상이 어우러져 성공했다.
N1,〜をもって,~으로써(기간/수단).,本日をもって受付を終了します。,금일을 기해 접수를 종료합니다.
N1,〜にあって,~한 상황에서.,困難な状況にあっても冷静だ。,곤란한 상황에서도 침착하다.
N1,〜といえども,~라 할지라도.,プロといえども失敗はある。,프로라 할지라도 실패는 있다.
N1,〜にして,~로서/~인데도(강조).,彼は若くして社長になった。,그는 젊은 나이에 사장이 되었다.
N1,〜にしてはならない,~해서는 안 된다(강한 금지).,命を軽んじてはならない。,생명을 가볍게 여겨서는 안 된다.
N1,〜を顧みず,~을 돌아보지 않고.,危険を顧みず救助に向かった。,위험을 돌아보지 않고 구조에 나섰다.
N1,〜をよそに,~은 아랑곳하지 않고.,周囲の心配をよそに彼は笑っていた。,주변의 걱정을 아랑곳하지 않고 그는 웃고 있었다.
N1,〜を皮切りに,~을 시작으로.,東京公演を皮切りに全国ツアーが始まる。,도쿄 공연을 시작으로 전국 투어가 시작된다.
N1,〜に先立ち,~에 앞서.,会議に先立ち資料を配布した。,회의에 앞서 자료를 배포했다.
N1,〜にかたくない,~하기 쉽다(추측).,彼が喜ぶのは想像にかたくない。,그가 기뻐할 것은 상상하기 쉽다.
N1,〜をものともせず,~을 대수롭지 않게 여기고.,批判をものともせず挑戦した。,비판을 대수롭지 않게 여기고 도전했다.
N1,〜に足る,~할 만하다.,信頼に足る人物だ。,신뢰할 만한 인물이다.
N1,〜に足りない,~에 미치지 못하다.,合格点に足りない。,합격점에 미치지 못한다.
N1,〜とあれば,~라면(조건).,必要とあれば手伝います。,필요하다면 돕겠습니다.
N1,〜にひきかえ,~와는 달리(대조).,兄にひきかえ弟はおとなしい。,형과 달리 동생은 얌전하다.
N1,〜を踏まえて,~을 바탕으로.,結果を踏まえて方針を決める。,결과를 바탕으로 방침을 정한다.
N1,〜に即して,~에 입각하여.,規則に即して処理します。,규칙에 입각하여 처리합니다.
